Level,Attachments (Image),Manufacturer (Image),Pending Changes (Image),Has Been Redlined (Image),Thumbnail,Sequence,Item Number,Item Description,Item Rev,Qty,Min Qty,Max Qty,Optional,Mut Excl,Ref Des,Item Footprint,BOM Notes,For Documentation,Child Action,Technology,Item Lifecycle,Subclass,BOM Description,REACH Compliance,RoHS Compliance,Encryption,REACH Up To Date,Moisture Sensitivity Level (MSL),Special Assembly Instructions,Single Source,Item P2 Notes,Operation Temperature,Manufacture Part Has Redline,Mfr. Name,Mfr Full Name,Mfr Priority Suffix,Mfr. Lifecycle Phase,Conflict Minerals Status,Mfr. Part Number,Mfr. Part Lifecycle Phase,Packaging Type,Preferred Status,Country of Origin (MP),Last Time Buy,Last Time Ship,Weight (Gram),REACH Up To Date,REACH Compliance,RoHS Compliance,Reference Notes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,KEMET,Kemet Corporation,,Approved,Yes by Product,C0402C103K5RACTU,Active,T&R 10K,,Taiwan,,,0.00143,,23.SVHC_235_14Jun2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TAIYOYUDEN,Taiyo Yuden Co Ltd,,Approved,Yes by Product,MSASU105SB7103KFNA01,Active,T/R 10K,Preferred,Japan;China;Philippines;Malaysia,,,0.0015,,20.SVHC_223_17Jan2022,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TAIYOYUDEN,Taiyo Yuden Co Ltd,,Approved,Yes by Product,UMK105B7103KV-F,EOL,T/R 10K,Inactive,Japan;China;Philippines;Malaysia,,,0.0015,,20.SVHC_223_17Jan2022,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,DARFON,DARFON,,Approved,Yes by Product,C1005X7R103KGTS,Active,T&R 10K,Preferred,Taiwan,,,0.00065,,19.SVHC_219_08Jul2021,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,YAGEO,YAGEO CORPORATION,,Approved,Yes by Product,CC0402KRX7R9BB103,Active,T&R 10K,Preferred,Taiwan,,,0.0014,,23.SVHC_235_14Jun2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TDK,TDK Corporation Ltd,,Approved,Yes by Product,C1005X7R1H103KT,Active,T&R,,China,,,0,,24.SVHC_240_23Jan2024,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,MURATA,MURATA MANUFATURING CO LTD,,Approved,Yes by Product,GRM155R71H103KA88D,Active,T&R 10K,,Japan,,,0,,24.SVHC_240_23Jan2024,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Fenghua,Guangdong Fenghua Adv Technology,,Approved,Not Conflict Free,0402B103K500NT,Active,T&R 10K,Preferred,China,,,0.001,,22.SVHC_233_17Jan2023,RoHS3 Compliant,
1,TRUE,TRUE,FALSE,FALSE,,0,EC#0402104KX50T,CAP-100n-0402-10%-X7R-50V,MCO007406,4,,,,,"C836,C868,C1947,C1948",C0402,,,Issue,SMT,Production,Capacitor,,,RoHS2,No,,‎1 – Unlimited,,NO,,-55°C to 125°C,FALSE,WALSIN,Walsin Technology Corporation,,Approved,Yes by Product,0402B104K500CT,Active,T&R 10K,Preferred,China,,,0.00134,,23.SVHC_235_14Jun2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TDK,TDK Corporation Ltd,,Approved,Yes by Product,C1005X7R1H104K050BB,Active,T&R 10K,Preferred,China,,,0.00125,15/01/2018 00:00:00 IST,23.SVHC_235_14Jun2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TAIYOYUDEN,Taiyo Yuden Co Ltd,,Approved,Yes by Product,UMK105B7104KV-FR,EOL,T&R 10K,Inactive,Japan;China;Korea;Philippines;Malaysia,,,0.00142,,20.SVHC_223_17Jan2022,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TAIYOYUDEN,Taiyo Yuden Co Ltd,,Approved,Yes by Product,MSASU105SB7104KFNB25,Active,T&R 10K,Preferred,Japan;China;Philippines;Malaysia,,,0.00142,,20.SVHC_223_17Jan2022,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,DARFON,DARFON,,Approved,Yes by Product,C1005X7R104KGTS,Active,T&R 10K,Preferred,Taiwan,,,0.00065,,19.SVHC_219_08Jul2021,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,SAMSUNG,SAMSUNG ELECTRO MECHANICS CO LTD,,Approved,Not Conflict Free,CL05B104KB5NNNC,Active,T&R 10K,Preferred,Korea,,,0.001559,,22.SVHC_233_17Jan2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Fenghua,Guangdong Fenghua Adv Technology,,Approved,Not Conflict Free,0402B104K500NT,Active,T&R 10K,Preferred,China,,,0.001,,22.SVHC_233_17Jan2023,RoHS3 Compliant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,KYOCERA,KYOCERA/AVX CORPORATION,,Approved,Yes by Product,04025C104KAT2A,Active,T&R 10K,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TDK,TDK Corporation Ltd,,Approved,Yes by Product,C1005X7R1H104K050BE,Active,T&R 10K,,China,,,0,,24.SVHC_240_23Jan2024,RoHS3 Compliant,
